game_name,drawing_date,number_drawn
Powerball,10/13/2012,2
Powerball,10/13/2012,26
Powerball,10/13/2012,25
Powerball,10/13/2012,49
Powerball,10/17/2012,42
Powerball,10/17/2012,23
Powerball,10/17/2012,10
Powerball,10/17/2012,7
Powerball,10/17/2012,1
Powerball,10/20/2012,4
Powerball,10/20/2012,28
Powerball,10/20/2012,31
Powerball,10/20/2012,44
Powerball,10/20/2012,21
Powerball,10/24/2012,18
Powerball,10/24/2012,50
Powerball,10/24/2012,23
Powerball,10/24/2012,3
Powerball,10/24/2012,21
Powerball,10/27/2012,34
Powerball,10/27/2012,56
Powerball,10/27/2012,36
Powerball,10/27/2012,32
Powerball,10/27/2012,22
Powerball,10/31/2012,45
Powerball,10/31/2012,31
Powerball,10/31/2012,1
Powerball,10/31/2012,48
Powerball,10/31/2012,27
Powerball,11/3/2012,54
Powerball,11/3/2012,4
Powerball,11/3/2012,7
Powerball,11/3/2012,9
Powerball,11/3/2012,30
Powerball,11/7/2012,32
Powerball,11/7/2012,45
Powerball,11/7/2012,34
Powerball,11/7/2012,52
Powerball,11/7/2012,58
Powerball,11/10/2012,55
Powerball,11/10/2012,32
Powerball,11/10/2012,50
Powerball,11/10/2012,54
Powerball,11/10/2012,42
Powerball,11/14/2012,44
Powerball,11/14/2012,10
Powerball,11/14/2012,58
Powerball,11/14/2012,8
Powerball,11/14/2012,30
Powerball,11/17/2012,15
Powerball,11/17/2012,59
Powerball,11/17/2012,27
Powerball,11/17/2012,58
Powerball,11/17/2012,3
Powerball,11/21/2012,24
Powerball,11/21/2012,30
Powerball,11/21/2012,8
Powerball,11/21/2012,18
Powerball,11/21/2012,39
Powerball,11/24/2012,22
Powerball,11/24/2012,32
Powerball,11/24/2012,37
Powerball,11/24/2012,44
Powerball,11/24/2012,50
Powerball,11/28/2012,5
Powerball,11/28/2012,23
Powerball,11/28/2012,16
Powerball,11/28/2012,22
Powerball,11/28/2012,29
Powerball,12/1/2012,46
Powerball,12/1/2012,10
Powerball,12/1/2012,3
Powerball,12/1/2012,19
Powerball,12/1/2012,36
Powerball,12/5/2012,27
Powerball,12/5/2012,19
Powerball,12/5/2012,38
Powerball,12/5/2012,13
Powerball,12/5/2012,17
Powerball,12/8/2012,23
Powerball,12/8/2012,40
Powerball,12/8/2012,53
Powerball,12/8/2012,26
Powerball,12/8/2012,7
Powerball,12/12/2012,36
Powerball,12/12/2012,25
Powerball,12/12/2012,44
Powerball,12/12/2012,8
Powerball,12/12/2012,10
Powerball,12/15/2012,40
Powerball,12/15/2012,23
Powerball,12/15/2012,44
Powerball,12/15/2012,55
Powerball,12/15/2012,15
Powerball,12/19/2012,23
Powerball,12/19/2012,20
Powerball,12/19/2012,5
Powerball,12/19/2012,30
Powerball,12/19/2012,8
Powerball,12/22/2012,18
Powerball,12/22/2012,44
Powerball,12/22/2012,35
Powerball,12/22/2012,39
Powerball,12/22/2012,1
Powerball,12/26/2012,54
Powerball,12/26/2012,43
Powerball,12/26/2012,13
Powerball,12/26/2012,11
Powerball,12/26/2012,23
Powerball,12/29/2012,55
Powerball,12/29/2012,52
Powerball,12/29/2012,46
Powerball,12/29/2012,50
Powerball,12/29/2012,36
Powerball,1/2/2013,20
Powerball,1/2/2013,18
Powerball,1/2/2013,53
Powerball,1/2/2013,28
Powerball,1/2/2013,35
Powerball,1/5/2013,30
Powerball,1/5/2013,49
Powerball,1/5/2013,54
Powerball,1/5/2013,26
Powerball,1/5/2013,51
Powerball,1/9/2013,11
Powerball,1/9/2013,20
Powerball,1/9/2013,13
Powerball,1/9/2013,27
Powerball,1/9/2013,59
Powerball,1/12/2013,47
Powerball,1/12/2013,21
Powerball,1/12/2013,23
Powerball,1/12/2013,14
Powerball,1/12/2013,10
Powerball,1/16/2013,51
Powerball,1/16/2013,21
Powerball,1/16/2013,32
Powerball,1/16/2013,28
Powerball,1/16/2013,9
Powerball,1/19/2013,29
Powerball,1/19/2013,8
Powerball,1/19/2013,28
Powerball,1/19/2013,34
Powerball,1/19/2013,38
Powerball,1/23/2013,24
Powerball,1/23/2013,43
Powerball,1/23/2013,11
Powerball,1/23/2013,12
Powerball,1/23/2013,45
Powerball,1/26/2013,22
Powerball,1/26/2013,49
Powerball,1/26/2013,41
Powerball,1/26/2013,26
Powerball,1/26/2013,3
Powerball,1/30/2013,47
Powerball,1/30/2013,16
Powerball,1/30/2013,14
Powerball,1/30/2013,32
Powerball,1/30/2013,52
Powerball,2/2/2013,41
Powerball,2/2/2013,33
Powerball,2/2/2013,16
Powerball,2/2/2013,40
Powerball,2/2/2013,11
