game_name,drawing_date,number_drawn
Mega Millions,7/6/2012,39
Mega Millions,7/6/2012,23
Mega Millions,7/6/2012,20
Mega Millions,7/10/2012,36
Mega Millions,7/10/2012,3
Mega Millions,7/10/2012,11
Mega Millions,7/10/2012,19
Mega Millions,7/10/2012,23
Mega Millions,7/13/2012,24
Mega Millions,7/13/2012,13
Mega Millions,7/13/2012,46
Mega Millions,7/13/2012,6
Mega Millions,7/13/2012,7
Mega Millions,7/17/2012,21
Mega Millions,7/17/2012,1
Mega Millions,7/17/2012,49
Mega Millions,7/17/2012,55
Mega Millions,7/17/2012,13
Mega Millions,7/20/2012,50
Mega Millions,7/20/2012,2
Mega Millions,7/20/2012,44
Mega Millions,7/20/2012,48
Mega Millions,7/20/2012,52
Mega Millions,7/24/2012,46
Mega Millions,7/24/2012,5
Mega Millions,7/24/2012,51
Mega Millions,7/24/2012,9
Mega Millions,7/24/2012,38
Mega Millions,7/27/2012,43
Mega Millions,7/27/2012,8
Mega Millions,7/27/2012,4
Mega Millions,7/27/2012,2
Mega Millions,7/27/2012,3
Mega Millions,7/31/2012,21
Mega Millions,7/31/2012,29
Mega Millions,7/31/2012,5
Mega Millions,7/31/2012,18
Mega Millions,7/31/2012,41
Mega Millions,8/3/2012,46
Mega Millions,8/3/2012,38
Mega Millions,8/3/2012,10
Mega Millions,8/3/2012,2
Mega Millions,8/3/2012,13
Mega Millions,8/7/2012,48
Mega Millions,8/7/2012,33
Mega Millions,8/7/2012,30
Mega Millions,8/7/2012,32
Mega Millions,8/7/2012,42
Mega Millions,8/10/2012,10
Mega Millions,8/10/2012,38
Mega Millions,8/10/2012,36
Mega Millions,8/10/2012,44
Mega Millions,8/10/2012,18
Mega Millions,8/14/2012,15
Mega Millions,8/14/2012,34
Mega Millions,8/14/2012,39
Mega Millions,8/14/2012,23
Mega Millions,8/14/2012,55
Mega Millions,8/17/2012,56
Mega Millions,8/17/2012,35
Mega Millions,8/17/2012,20
Mega Millions,8/17/2012,24
Mega Millions,8/17/2012,8
Mega Millions,8/21/2012,5
Mega Millions,8/21/2012,33
Mega Millions,8/21/2012,13
Mega Millions,8/21/2012,23
Mega Millions,8/21/2012,20
Mega Millions,8/24/2012,45
Mega Millions,8/24/2012,34
Mega Millions,8/24/2012,46
Mega Millions,8/24/2012,25
Mega Millions,8/24/2012,49
Mega Millions,8/28/2012,9
Mega Millions,8/28/2012,50
Mega Millions,8/28/2012,40
Mega Millions,8/28/2012,45
Mega Millions,8/28/2012,4
Mega Millions,8/31/2012,40
Mega Millions,8/31/2012,47
Mega Millions,8/31/2012,48
Mega Millions,8/31/2012,31
Mega Millions,8/31/2012,41
Mega Millions,9/4/2012,41
Mega Millions,9/4/2012,39
Mega Millions,9/4/2012,53
Mega Millions,9/4/2012,32
Mega Millions,9/4/2012,16
Mega Millions,9/7/2012,32
Mega Millions,9/7/2012,42
Mega Millions,9/7/2012,15
Mega Millions,9/7/2012,46
Mega Millions,9/7/2012,38
Mega Millions,9/11/2012,20
Mega Millions,9/11/2012,5
Mega Millions,9/11/2012,33
Mega Millions,9/11/2012,36
Mega Millions,9/11/2012,11
Mega Millions,9/14/2012,40
Mega Millions,9/14/2012,21
Mega Millions,9/14/2012,51
Mega Millions,9/14/2012,16
Mega Millions,9/14/2012,17
Mega Millions,9/18/2012,9
Mega Millions,9/18/2012,5
Mega Millions,9/18/2012,22
Mega Millions,9/18/2012,49
Mega Millions,9/18/2012,36
Mega Millions,9/21/2012,13
Mega Millions,9/21/2012,55
Mega Millions,9/21/2012,3
Mega Millions,9/21/2012,14
Mega Millions,9/21/2012,46
Mega Millions,9/25/2012,50
Mega Millions,9/25/2012,51
Mega Millions,9/25/2012,23
Mega Millions,9/25/2012,8
Mega Millions,9/25/2012,7
Mega Millions,9/28/2012,6
Mega Millions,9/28/2012,14
Mega Millions,9/28/2012,8
Mega Millions,9/28/2012,56
Mega Millions,9/28/2012,43
Mega Millions,10/2/2012,55
Mega Millions,10/2/2012,20
Mega Millions,10/2/2012,11
Mega Millions,10/2/2012,10
Mega Millions,10/2/2012,42
Mega Millions,10/5/2012,9
Mega Millions,10/5/2012,16
Mega Millions,10/5/2012,32
Mega Millions,10/5/2012,8
Mega Millions,10/5/2012,39
Mega Millions,10/9/2012,22
Mega Millions,10/9/2012,15
Mega Millions,10/9/2012,6
Mega Millions,10/9/2012,16
Mega Millions,10/9/2012,37
Mega Millions,10/12/2012,26
Mega Millions,10/12/2012,24
Mega Millions,10/12/2012,10
Mega Millions,10/12/2012,6
Mega Millions,10/12/2012,42
Mega Millions,10/16/2012,37
Mega Millions,10/16/2012,46
Mega Millions,10/16/2012,52
Mega Millions,10/16/2012,13
Mega Millions,10/16/2012,40
Mega Millions,10/19/2012,14
Mega Millions,10/19/2012,48
Mega Millions,10/19/2012,36
Mega Millions,10/19/2012,34
Mega Millions,10/19/2012,53
Mega Millions,10/23/2012,42
Mega Millions,10/23/2012,55
Mega Millions,10/23/2012,17
Mega Millions,10/23/2012,1
Mega Millions,10/23/2012,46
Mega Millions,10/26/2012,36
Mega Millions,10/26/2012,4
Mega Millions,10/26/2012,24
Mega Millions,10/26/2012,40
Mega Millions,10/26/2012,15
Mega Millions,10/30/2012,29
Mega Millions,10/30/2012,5
Mega Millions,10/30/2012,12
Mega Millions,10/30/2012,56
Mega Millions,10/30/2012,18
Mega Millions,11/2/2012,38
Mega Millions,11/2/2012,18
Mega Millions,11/2/2012,4
Mega Millions,11/2/2012,44
Mega Millions,11/2/2012,22
Mega Millions,11/6/2012,35
Mega Millions,11/6/2012,32
Mega Millions,11/6/2012,3
Mega Millions,11/6/2012,5
Mega Millions,11/6/2012,13
Mega Millions,11/9/2012,35
Mega Millions,11/9/2012,18
